,Number,F true,F guess,d true,d guess,MAE ground truth,MAE spectrum
143,143.0,-0.9203730439250888,-0.9202272295951844,-0.3514151558260543,-0.351265013217926,0.0019890188705176115,0.0017441007075831294
144,144.0,-0.8579139627110289,-0.8569556474685669,-0.4904128568308268,-0.490492969751358,0.002604164415970445,0.002237292006611824
145,145.0,-0.9312262423487913,-0.931414008140564,-0.36145902187717227,-0.3612582087516785,0.002274569822475314,0.002070484450086952
146,146.0,-0.7890123285274238,-0.7889869809150696,-0.29230491064192066,-0.2920510172843933,0.003256646916270256,0.002482620999217033
147,147.0,-0.7111427189353985,-0.7143846750259399,0.5632164678149191,0.5629531145095825,0.00514585617929697,0.004089904949069022
148,148.0,-0.8122208054632217,-0.8123549818992615,-0.4118599853583921,-0.41193732619285583,0.0025010148528963327,0.002380105433985591
149,149.0,-0.9266252958650376,-0.9265424013137816,-0.20073782330203868,-0.20093102753162384,0.002196515211835504,0.0017799475463107226
150,150.0,-0.10407528364405468,-0.11431671679019928,0.3926076848612826,0.3928204774856568,0.00835092645138502,0.008069162257015705
151,151.0,-0.7641368300932234,-0.7649494409561157,0.5759571405252337,0.5756986141204834,0.005901799071580172,0.005455188918858767
152,152.0,0.9999160280594946,0.6252951622009277,-0.8047312795111171,-0.8050408959388733,0.01613520085811615,0.03103792853653432
153,153.0,-0.4656054727817457,-0.4709700047969818,0.3832757835526795,0.38342249393463135,0.006078969221562147,0.005898377858102322
154,154.0,-0.8755270317678351,-0.8751012682914734,-0.7611231039544923,-0.7611379623413086,0.0017724515637382863,0.0017044330015778546
155,155.0,-0.4656054727817457,-0.4638103246688843,-0.590862092188644,-0.5908110737800598,0.004676590673625468,0.004585116636008024
156,156.0,-0.4811549213857669,-0.4821243584156037,-0.7341416065315094,-0.734171450138092,0.002842724323272705,0.0028557071927934885
157,157.0,-0.6574191265772354,-0.662110447883606,0.43091484953528303,0.4309929013252258,0.005020276177674532,0.0045509967021644115
158,158.0,-0.7522476759823431,-0.7541002035140991,-0.3797700771870797,-0.3797939121723175,0.003439896507188679,0.003179200226441025
159,159.0,-0.5975766229135557,-0.34733402729034424,-0.7264222999794319,-0.7269905209541321,0.0031467974185943604,0.07718648761510849
160,160.0,-0.8032508731546982,-0.8021504282951355,-0.4788571983248181,-0.4789288640022278,0.0022911378182470803,0.001932607148773968
161,161.0,-0.12182810955010552,-0.12075071781873704,0.15320277375102193,0.15334926545619965,0.007388124242424966,0.0074830991216003895
162,162.0,-0.5574147192123258,-0.5567747950553894,-0.1804216069719646,-0.18043822050094604,0.0037489989772439,0.003709432668983936
163,163.0,-0.985125116713352,-0.9847911596298218,-0.3484275733440533,-0.3491755425930023,0.002399510471150279,0.002394688781350851
164,164.0,-0.9995140865870156,-1.0002998113632202,-0.7324209234532914,-0.6768816113471985,0.002437473740428686,0.003069732105359435
165,165.0,-0.44795929171909454,-0.44888398051261896,-0.2879326237525182,-0.2875826060771942,0.006002796348184347,0.005253544077277184
166,166.0,-0.9813349096723708,-0.981074035167694,-0.211704071686387,-0.21247932314872744,0.002840694738551975,0.0019003949128091329
167,167.0,-0.8035388034885238,-0.8035919070243835,0.06951495083872054,0.06959545612335205,0.003458598162978888,0.00345316412858665
168,168.0,-0.6574191265772354,-0.6587618589401245,0.22422714904685312,0.2241665869951248,0.005515311844646932,0.005613049957901239
169,169.0,-0.9394273583882202,-0.9392783045768738,-0.7344609448353997,-0.7342795133590698,0.001978530315682292,0.0018034630920737984
170,170.0,-0.9754922841051742,-0.9546008706092834,-0.923827689252799,-0.8462255597114563,0.002314803889021277,0.1094137579202652
171,171.0,-0.8515242501525413,-0.8519452810287476,-0.1970049561222847,-0.19719472527503967,0.0023392036091536283,0.0018704673275351524
